code_key;q3;q7;q8;q9;q18
1400135;1;اطفال النجف;1;1;1
1400136;1;الحوراء;1;1;1
1400137;1;الاجيال;1;1;1
1400138;1;البراعم;1;1;1
1400139;1;الزيتون;1;1;1
1400140;1;النرجس;1;1;1
1400141;1;البيادر;1;1;1
1400142;1;الربيع;1;1;1
1400143;1;الهديل;1;1;1
1400144;1;الشهيدة احلام رزاق كاظم دبش;1;1;1
1400145;1;الغدير;1;1;1
1400146;1;العبير;1;1;1
1400147;1;المباهج;1;1;1
1400148;1;اطفال الثورة;1;1;1
1400149;1;الحسين;1;1;1
1400150;1;الشموع;1;1;1
1400151;1;قتيبة;1;1;1
1400152;1;الاستبرق;1;1;1
1400153;1;الافاق الرحبة;1;1;1
1400154;1;الزنابق;1;2;1
1400760;1;العسل;1;1;1
1400774;1;جنة الزهراء;1;1;1
1400779;1;زهرة الوادي;1;1;1
1400794;1;طيور الجنة;1;1;1
1400827;1;ندى القلوب;1;1;1
1400960;1;الابتسامة;1;1;1
1401004;1;حمائم السلام;1;1;1
1401121;1;العصافير;1;1;1
1401154;1;النوارس البيضاء;1;1;2
1401194;1;تنمية الذكاء ( تعليق );1;1;2
1401195;1;السنافر;1;1;2
1401275;1;سما;1;1;2
1401277;1;الوارث;1;1;2
1401318;1;كفيلة الايتام (( لم يصدر كتابها )) / تعليق;1;1;2
1401322;1;احباب المرتضى;1;1;2
1401324;1;شموس الغري (( تعليق ));1;1;2
1401402;1;الملاك;1;1;1
1401418;1;المبدعون الصغار;1;1;2
1401513;1;الفرقان;1;1;2
1401566;1;نيوتن;1;1;2
1401660;1;العبقري الصغير;1;5;1
1400155;2;اطفال الكوفة;2;6;1
1400156;2;الينابيع;2;6;1
1400157;2;الورود;2;6;1
1400158;2;الاصيل;2;6;1
1400159;2;الاريج;2;6;1
1400160;2;السندس;2;6;1
1400161;2;الياسمين;2;7;1
1400162;2;الازاهير;2;8;1
1400998;2;السندباد;2;6;1
1401072;2;البنفسج;2;6;1
1401185;2;انوار الحسن المجتبى;2;10;2
1401438;2;لولو كاتي;2;6;2
1401612;2;كادي;2;6;2
1400163;3;السدير;3;9;1
1400164;3;الشروق;3;9;1
1400165;3;الرياحين;3;10;1
1400166;3;المشخاب;4;11;1
1400167;3;النسيم;4;11;1
1400168;3;القادسية;4;12;1
1401070;3;اطفال المناذرة;3;9;1
1401071;3;اطفال الدسم;3;10;1
1401122;3;رقية بنت الحسين;3;9;1
1401466;3;ساندي بيل ( غلق );4;11;2
1401720;3;حكاية;4;11;2
