list_name;name;label::Arab (ar);subdistrict;sch_env
sector;280001;حي الحنانة;1;1
sector;280002;حي السعد/المثنى/المنتظر;1;1
sector;280003;حي الحسين;1;1
sector;280004;حي المعلمين/المهدي/الامام علي;1;1
sector;280005;حي العلماء/العباس;1;1
sector;280006;حي عدن;1;1
sector;280007;حي الكرامة/الصحة;1;1
sector;280008;حي الإسكان/الاشتراكي;1;1
sector;280009;حي الغدير;1;1
sector;280010;حي السواق (الحوراء زينب);1;1
sector;280011;حي الفرات;1;1
sector;280012;حي الأمير;1;1
sector;280013;حي الفرات (السكني);1;1
sector;280014;حي الزهراء;1;1
sector;280016;حي العدالة (الشقق السكنية ,المنطقة الثقافية);1;1
sector;280017;حي العدالة;1;1
sector;280019;حي القادسية (الحسن);1;1
sector;280020;حي الأنصار;1;1
sector;280023;حي النفط - الأطباء;1;1
sector;280024;حي الغري;1;1
sector;280025;حي السلام الجديد;1;1
sector;280026;حي القدس الاول;1;1
sector;280027;حي السلام;1;1
sector;280031;حي الحرفيين;1;1
sector;280034;حي الجامعة;1;1
sector;280038;حي الصناع;1;1
sector;280042;حي العمارة;1;1
sector;280043;حي المشراق;1;1
sector;280044;حي منطقة استراحة الزائرين;1;1
sector;280045;حي المقبرة ومراب النقل الداخلي;1;1
sector;280046;حي المقبرة;1;1
sector;280047;حي مرقد الشهيد الصدر;1;1
sector;280048;حي الحويش;1;1
sector;280049;حي السوق الكبير;1;1
sector;280050;حي البراق;1;1
sector;280051;حي الرحمة;1;1
sector;280052;حي الشوافع;1;1
sector;280053;حي ابوطالب;1;1
sector;280054;حي الجديدة الثانية;1;1
sector;280055;حي الجديدة الأولى;1;1
sector;280056;حي الجديدة الرابعة;1;1
sector;280057;حي الجديدة الثالثة;1;1
sector;280058;حي الشرطة/الثورة;1;1
sector;280059;حي مدينة العلم;1;1
sector;280060;حي القدس الثانية;1;1
sector;280061;حي شريط العسكري (العروبة الجديد);1;1
sector;280062;حي المكرمة (الشهيد الصدر);1;1
sector;280066;حي قرية الغدير;1;1
sector;280067;حي العسكري (اليرموك);1;1
sector;280071;حي الجمعية (الرسالة);1;1
sector;280074;حي العروبة (الجزيرة);1;1
sector;280079;حي دور الهندية;1;1
sector;280081;حي الوفاء;1;1
sector;280085;حي الميلاد (القاسم);1;1
sector;280090;حي ملحق الميلاد;1;1
sector;280093;حي مجمع السلام;1;1
sector;280094;حي منطقة خدمات عامة;1;1
sector;280096;حي خدمات;1;1
sector;280097;حي النصر;1;1
sector;280103;حي مجمع ابوتراب;1;1
sector;280106;حي مجمع الزهراء;1;1
sector;280108;حي مجمع الشهداء;1;1
sector;280109;حي مجمع الريان;1;1
sector;280110;حي النداء;1;1
sector;280117;حي مجمع الاميرات;1;1
sector;280118;حي خدمات + جامعة الكفيل;1;1
sector;280119;حي مجمع بيتي الثاني;1;1
sector;280120;حي منطقة الصناعية;1;1
sector;280121;حي مجمع السلطان;1;1
sector;280122;حي مجمع بيتي الأول;1;1
sector;280123;حي ملحق النداء;1;1
sector;280129;حي مجمع النخيل;1;1
sector;280130;حي الاكاديمية الرياضية;1;1
sector;280131;حي الموظفين;1;1
sector;280181;مقاطعة 3 جزيرة النجف الجنوبية الشرقية;1;2
sector;280182;مقاطعة 4 شواطئ بحر النجف الشمالية الشرقية;1;2
sector;280183;مقاطعة 4 جزيرة النجف الشمالية الشرقية;1;2
sector;280185;مقاطعة 5 شواطئ بحر النجف الغربي;1;2
sector;280186;مقاطعة 20 بساتين جدول السدير الشرقية;1;2
sector;280187;مقاطعة 21 بساتين جدول السدير الوسطى;1;2
sector;280188;مقاطعة 22 بساتين جدول السدير الغربية;1;2
sector;280238;حي الامير;2;1
sector;280243;حي القاسم;2;1
sector;280244;حي الزهراء;2;1
sector;280245;حي الغدير;2;1
sector;280246;حي  17 ربيع الأول;2;1
sector;280247;حي  السلام;2;1
sector;280248;حي  الكاظم;2;1
sector;280298;مقاطعة 4 جزيرة النجف الشماليه الشرقية;2;2
sector;280300;مقاطعة 5 جزيرة النجف الشمالية الغربية;2;2
sector;280301;مقاطعة 65 جزيرة الوسميه الجنوبيه;2;2
sector;280302;مقاطعة 66 أراضي وبساتين الوسيمه الشمالية;2;2
sector;280303;مقاطعة 67 أراضي وبساتين الكريعه;2;2
sector;280304;مقاطعة 68 أراضي وبساتين المزوكه الشماليه;2;2
sector;280309;مقاطعة 69 اراضي وبساتين المزوكه الشرقية;2;2
sector;280311;مقاطعة 70 اراضي وبساتين المزوكه الجنوبيه;2;2
sector;280315;مقاطعة 71 اراضي وبساتين المزوكه الغربيه;2;2
sector;280317;مقاطعة 72 اراضي وبساتين المجر الجنو رن;2;2
sector;280319;مقاطعة 73 اراضي وبساتين المجر الوسطاني;2;2
