code_key,q1,q2,q3,q4,q4a,q6,q7,q8,q9,q10,q11,q12,q13,q14,q14a,q15,q16,q17,q18,q20,q21,q22,q22a,q22b,q23,q24
2001886,,,,,,,اعدادية الاحرار المسائية للبنين,,,,,,,,,,,,,,,,,,,
2001887,,,,,,,ثانوية الفجرالجديد المسائية للبنات,,,,,,,,,,,,,,,,,,,
2001447,,,,,,,متوسطة صهيب الرومي للبنين,,,,,,,,,,,,,,,,,,,
2001889,,,,,,,اعدادية الاصفياء للبنين,,,,,,,,,,,,,,,,,,,
2001901,,,,,,,ثانوية السراج المنير المسائية للبنين,,,,,,,,,,,,,,,,,,,
2001114,,,,,,,ثانوية الامام الرضا للبنات,,,,,,,,,,,,,,,,,,,
2002986,,,,,,,اعدادية الميقات للبنات,,,,,,,,,,,,,,,,,,,
2001888,,,,,,,اعدادية الازكياء للبنين ,,,,,,,,,,,,,,,,,,,
2001461,,,,,,,اعدادية الشيخ محمد رضا المظفر للبنين,,,,,,,,,,,,,,,,,,,
2001975,,,,,,,متوسطة  وسام العراق  للبنات,,,,,,,,,,,,,,,,,,,
2001972,,,,,,,متوسطة سدرة المنتهى للبنات,,,,,,,,,,,,,,,,,,,
2001974,,,,,,,متوسطة نور الصباح للبنات,,,,,,,,,,,,,,,,,,,
2001973,,,,,,,اعدادية حاتم محسن الدراجي للبنين,,,,,,,,,,,,,,,,,,,
2002011,,,,,,,ثانوية ريحانة المصطفى للبنات,,,,,,,,,,,,,,,,,,,
2002012,,,,,,,ثانوية  علي الاكبر للبنين,,,,,,,,,,,,,,,,,,,
2001450,,,,,,,متوسطة الاء الرحمن للبنات,,,,,,,,,,,,,,,,,,,
2002009,,,,,,,متوسطة الاوسمة للبنين,,,,,,,,,,,,,,,,,,,
2001445,,,,,,,متوسطة  لواءالحمد المسائية للبنين,,,,,,,,,,,,,,,,,,,
2002109,,,,,,,متوسطة مناهل العلم للنات,,,,,,,,,,,,,,,,,,,
2002189,,,,,,,متوسطة فاطمة الصغرى للبنات,,,,,,,,,,,,,,,,,,,
2002190,,,,,,, متوسطة مصطفى جمال الدين للبنين,,,,,,,,,,,,,,,,,,,
2002191,,,,,,,متوسطة حليمة السعدية للبنات,,,,,,,,,,,,,,,,,,,
2002192,,,,,,,اعدادية السيدة نفيسة للبنات,,,,,,,,,,,,,,,,,,,
2002193,,,,,,,ثانوية الحرمين  للبنات,,,,,,,,,,,,,,,,,,,
2002194,,,,,,,متوسطة علي بن يقطين للبنين,,,,,,,,,,,,,,,,,,,
2002195,,,,,,,متوسطة الصحابي هاشم المرقال للبنين,,,,,,,,,,,,,,,,,,,
2002196,,,,,,,متوسطة تيجان النور للبنين,,,,,,,,,,,,,,,,,,,
2001177,,,,,,,ثانوية اجنادين للبنات,,,,,,,,,,,,,,,,,,,
2001178,,,,,,,ثانوية الشهيد سالم حالوب للبنين,,,,,,,,,,,,,,,,,,,
2001626,,,,,,,اعدادية الابتسامة للبنات,,,,,,,,,,,,,,,,,,,
2001622,,,,,,,متوسطة بغداد للبنين,,,,,,,,,,,,,,,,,,,
2001180,,,,,,,ثانوية الخالدين للبنين,,,,,,,,,,,,,,,,,,,
2001956,,,,,,,ثانوية الظلال للبنات,,,,,,,,,,,,,,,,,,,
