code_key;q1;q2;q3;q4;q4a;q6;q7;q8;q9;q10;q11;q12;q13;q14;q14a;q15;q16;q17;q18;q20;q21;q22;q22a;q22b;q23;q24;q39;q40;q41;q42;q43;q44;q45;q45a;q73;q74;table30_2
1400001;;;;;;;ع . النجف ( مركزية - علمي );1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400002;;;;;;;ع . الخورنق;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400003;;;;;;;م . السدير الأساسية;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400004;;;;;;;ع . الحبوبي المسائية ( سادس علمي وادبي );1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400005;;;;;;;م . الجمهورية;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400006;;;;;;;م . النجف المسائية;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400007;;;;;;;ث . الكندي;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400008;;;;;;;م . النجف للبنين;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400009;;;;;;;م . النهروان;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400010;;;;;;;م . الامام علي;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400011;;;;;;;م . الخليل;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400012;;;;;;;م . دمشق الأساسية;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400013;;;;;;;م . بغداد الأساسية;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400014;;;;;;;ع . الامام الحسين;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400015;;;;;;;م . الاحرار(قرض);1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400016;;;;;;;م . الامام الهادي الأساسية;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400017;;;;;;;م . عكاظ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400018;;;;;;;ع . الدكتور علي الوردي ( سادس علمي و ادبي );1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400019;;;;;;;م . ابي ذر;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400020;;;;;;;م . الفارس العربي;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400021;;;;;;;ع . امنة الصدر ( سادس علمي وادبي );1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1400022;;;;;;;م . النجف للبنات;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
