sch_stat_no;sch_name;district;subdistrict
1400001;النجف مركزية;1;1
1400002;الخورنق;1;1
1400003;السدير الأساسية;1;1
1400004;الحبوبي المسائية;1;1
1400005;الجمهورية;1;1
1400006;النجف المسائية;1;1
1400007;الكندي;1;1
1400008;النجف;1;1
1400009;النهروان;1;1
1400010;الامام علي;1;1
1400011;الخليل;1;1
1400012;دمشق الأساسية;1;1
1400013;بغداد الأساسية;1;1
1400014;الامام الحسين;1;1
1400015;الاحرار;1;1
1400016;الامام الهادي الأساسية;1;1
1400017;عكاظ;1;1
1400018;الدكتور علي الوردي;1;1
1400019;ابي ذر;1;1
1400020;الفارس العربي;1;1
1400021;امنة الصدر;1;1
1400022;النجف;1;1
1400023;الامير;1;1
1400024;الامل;1;1
1400026;اللاذقية;1;1
1400027;ميسلون;1;1
1400028;البتول المسائية;1;1
1400029;الشهباء;1;1
1400030;بلقيس الأساسية;1;1
1400031;الساجدات مركزية;1;1
1400032;الخنساء;1;1
1400033;اوراس;1;1
1400034;خولة بنت الازور;1;1
1400035;الكرامة;1;1
1400036;صدر العراق;1;1
1400037;المثنى;1;1
1400038;الجزائر;1;1
1400039;الوحدة;1;1
1400040;الكرار;1;1
1400041;رمضان;1;1
1400042;العفاف;1;1
1400043;النصر مركزية;1;1
1400044;الفاو;1;1
1400045;الزهراء;1;1
1400046;الخليج العربي;1;1
1400047;زينب الكبرى;1;1
1400048;محمد باقر الصدر;1;1
1400049;الشاطىء غلق;1;1
1400050;اليقظة;1;1
1400051;الفرزدق;1;1
1400052;سمية;1;1
1400053;رقية;1;1
1400054;التحرير;1;1
1400055;الكرار المسائية;1;1
1400056;شهداء الجمعة;1;1
1400057;الشيخ المفيد مركزية;1;1
1400058;الحمزة بن عبد المطلب;1;1
1400059;كربلاء;1;1
1400060;الخليل المسائية;1;1
1400061;الصباح;1;1
1400062;الايمان;1;1
1400063;الاصيل مركزية;1;1
1400064;انتفاضة صفر;1;1
1400065;الامام الحسن;1;1
1400066;الانفال;1;1
1400067;شمس الحرية;1;1
1400068;قمر بني هاشم;1;1
1400069;محمد بن ابي بكر;1;1
1400070;الزهاوي;1;2
1400071;الفاطمية;1;2
1400072;طريق الحسين;1;2
1400073;الفرات;2;6
1400074;المتنبي;2;6
1400075;الحكيم المسائية;2;6
1400076;حلب;2;6
1400077;المصطفى الأساسية;2;6
1400078;الكوفة;2;6
1400079;الشهيد عبدالمنعم فارس;2;6
1400080;الزاكيات;2;6
1400081;طول كرم;2;6
1400082;حمورابي;2;6
1400083;ميسان;2;6
1400084;شط العرب;2;6
1400085;الحرية;2;6
1400087;مسلم بن عقيل مركزية;2;6
1400088;الطليعة;2;6
1400089;الرياض;2;6
1400090;الزهور;2;6
1400091;الامام زين العابدين;2;6
1400092;الضفاف;2;6
1400093;الصدرين;2;6
1400094;العباسية;2;7
1400095;الرواد;2;7
1400096;غانم المحنة;2;7
1400097;زيد بن علي;2;7
1400098;الفراهيدي;2;7
1400099;قرطاجة;2;7
1400100;حلوان;2;7
1400101;المربد;2;7
1400102;الفدائي;2;8
1400103;الرملة;2;8
1400104;السلام;2;8
1400105;القدس;3;9
1400106;القدس المسائية;3;9
1400107;الشيخ احمد الوائلي;3;9
1400108;صنعاء;3;9
1400109;الحيرة;3;10
1400110;الفرسان;3;10
1400111;واسط;3;10
1400112;ابي تراب;3;9
1400113;الاكرمين;3;9
1400114;صنعاء;3;9
1400115;ابو الاسود الدوؤلي;3;10
1400116;العزة;4;11
1400117;المشخاب;4;11
1400118;المناذرة;4;11
1400119;الخوارزمي;4;11
1400120;الزعيم عبدالواحد سكر;4;11
1400121;الامام جعفر الصادق;4;11
1400122;عبدالله بن الحسين;4;11
1400123;المشخاب;4;11
1400124;الاسراء;4;11
1400125;العلامة رضا الهندي المسائية;4;11
1400126;تبارك;4;11
1400127;رشيد الهجري;4;11
1400128;سفير الحسين;4;11
1400129;نور الياسري;4;11
1400130;القادسية;4;12
1400131;الانتصار;4;12
1400132;الميثاق;4;12
1400133;الثقافة;4;12
1400134;الشهيد عبدالحميد علوان الياسري;4;12
1400135;اطفال النجف;1;1
1400136;الحوراء;1;1
1400137;الاجيال;1;1
1400138;البراعم;1;1
1400139;الزيتون;1;1
1400140;النرجس;1;1
1400141;البيادر;1;1
1400142;الربيع;1;1
1400143;الهديل;1;1
1400144;الشهيدة احلام رزاق كاظم دبش;1;1
1400145;الغدير;1;1
1400146;العبير;1;1
1400147;المباهج;1;1
1400148;اطفال الثورة;1;1
1400149;الحسين;1;1
1400150;الشموع;1;1
1400151;قتيبة;1;1
1400152;الاستبرق;1;1
1400153;الافاق الرحبة;1;1
1400154;الزنابق;1;2
1400155;اطفال الكوفة;2;6
1400156;الينابيع;2;6
1400157;الورود;2;6
1400158;الاصيل;2;6
1400159;الاريج;2;6
1400160;السندس;2;6
