list_name;name;label::Arab (ar);sector
locality;1;محلة 101;280001
locality;2;محلة 102;280002
locality;3;محلة 103;280003
locality;4;محلة 104;280004
locality;5;محلة 105;280005
locality;6;محلة 106;280006
locality;7;محلة 107;280007
locality;8;محلة 108;280008
locality;9;محلة 109;280009
locality;10;محلة 110;280010
locality;11;محلة 111;280011
locality;12;محلة 112;280012
locality;13;محلة 113;280013
locality;14;محلة 114;280014
locality;15;محلة 116;280014
locality;16;محلة 115;280016
locality;17;محلة 117;280017
locality;18;محلة 119;280017
locality;19;محلة 118;280019
locality;20;محلة 120;280020
locality;21;محلة 122;280020
locality;22;محلة 124;280020
locality;23;محلة 121;280023
locality;24;محلة 123;280024
locality;25;محلة 125;280025
locality;26;محلة 126;280026
locality;27;محلة 127;280027
locality;28;محلة 129;280027
locality;29;محلة 131;280027
locality;30;محلة 133;280027
locality;31;محلة 128;280031
locality;32;محلة 130;280031
locality;33;محلة 132;280031
locality;34;محلة 135;280034
locality;35;محلة 137;280034
locality;36;محلة 139;280034
locality;37;محلة 141;280034
locality;38;محلة 134;280038
locality;39;محلة 136;280038
locality;40;محلة 138;280038
locality;41;محلة 140;280038
locality;42;محلة 201;280042
locality;43;محلة 203;280043
locality;44;محلة 204;280044
locality;45;محلة 205;280045
locality;46;محلة 207;280046
locality;47;محلة 209;280047
locality;48;محلة 206;280048
locality;49;محلة 208;280049
locality;50;محلة 210;280050
locality;51;محلة 211;280051
locality;52;محلة 212;280052
locality;53;محلة 213;280053
locality;54;محلة 214;280054
locality;55;محلة 216;280055
locality;56;محلة 218;280056
locality;57;محلة 220;280057
locality;58;محلة 222;280058
locality;59;محلة 224;280059
locality;60;محلة 226;280060
locality;61;محلة 301;280061
locality;62;محلة 302;280062
locality;63;محلة 304;280062
locality;64;محلة 308;280062
locality;65;محلة 310;280062
locality;66;محلة 303;280066
locality;67;محلة 306;280067
locality;68;محلة 312;280067
locality;69;محلة 314;280067
locality;70;محلة 316;280067
locality;71;محلة 318;280071
locality;72;محلة 320;280071
locality;73;محلة 322;280071
locality;74;محلة 324;280074
locality;75;محلة 326;280074
locality;76;محلة 328;280074
locality;77;محلة 330;280074
locality;78;محلة 332;280074
