list_name;name;label::Arab (ar);subdistrict;sch_env
sector;280001;حي الحنانة;njf_c;urb
sector;280002;حي السعد/المثنى/المنتظر;njf_c;urb
sector;280003;حي الحسين;njf_c;urb
sector;280004;حي المعلمين/المهدي/الامام علي;njf_c;urb
sector;280005;حي العلماء/العباس;njf_c;urb
sector;280006;حي عدن;njf_c;urb
sector;280007;حي الكرامة/الصحة;njf_c;urb
sector;280008;حي الإسكان/الاشتراكي;njf_c;urb
sector;280009;حي الغدير;njf_c;urb
sector;280010;حي السواق (الحوراء زينب);njf_c;urb
sector;280011;حي الفرات;njf_c;urb
sector;280012;حي الأمير;njf_c;urb
sector;280013;حي الفرات (السكني);njf_c;urb
sector;280014;حي الزهراء;njf_c;urb
sector;280016;حي العدالة (الشقق السكنية ,المنطقة الثقافية);njf_c;urb
sector;280017;حي العدالة;njf_c;urb
sector;280019;حي القادسية (الحسن);njf_c;urb
sector;280020;حي الأنصار;njf_c;urb
sector;280023;حي النفط - الأطباء;njf_c;urb
sector;280024;حي الغري;njf_c;urb
sector;280025;حي السلام الجديد;njf_c;urb
sector;280026;حي القدس الاول;njf_c;urb
sector;280027;حي السلام;njf_c;urb
sector;280031;حي الحرفيين;njf_c;urb
sector;280034;حي الجامعة;njf_c;urb
sector;280038;حي الصناع;njf_c;urb
sector;280042;حي العمارة;njf_c;urb
sector;280043;حي المشراق;njf_c;urb
sector;280044;حي منطقة استراحة الزائرين;njf_c;urb
sector;280045;حي المقبرة ومراب النقل الداخلي;njf_c;urb
sector;280046;حي المقبرة;njf_c;urb
sector;280047;حي مرقد الشهيد الصدر;njf_c;urb
sector;280048;حي الحويش;njf_c;urb
sector;280049;حي السوق الكبير;njf_c;urb
sector;280050;حي البراق;njf_c;urb
sector;280051;حي الرحمة;njf_c;urb
sector;280052;حي الشوافع;njf_c;urb
sector;280053;حي ابوطالب;njf_c;urb
sector;280054;حي الجديدة الثانية;njf_c;urb
sector;280055;حي الجديدة الأولى;njf_c;urb
sector;280056;حي الجديدة الرابعة;njf_c;urb
sector;280057;حي الجديدة الثالثة;njf_c;urb
sector;280058;حي الشرطة/الثورة;njf_c;urb
sector;280059;حي مدينة العلم;njf_c;urb
sector;280060;حي القدس الثانية;njf_c;urb
sector;280061;حي شريط العسكري (العروبة الجديد);njf_c;urb
sector;280062;حي المكرمة (الشهيد الصدر);njf_c;urb
sector;280066;حي قرية الغدير;njf_c;urb
sector;280067;حي العسكري (اليرموك);njf_c;urb
sector;280071;حي الجمعية (الرسالة);njf_c;urb
sector;280074;حي العروبة (الجزيرة);njf_c;urb
sector;280079;حي دور الهندية;njf_c;urb
sector;280081;حي الوفاء;njf_c;urb
sector;280085;حي الميلاد (القاسم);njf_c;urb
sector;280090;حي ملحق الميلاد;njf_c;urb
sector;280093;حي مجمع السلام;njf_c;urb
sector;280094;حي منطقة خدمات عامة;njf_c;urb
sector;280096;حي خدمات;njf_c;urb
sector;280097;حي النصر;njf_c;urb
sector;280103;حي مجمع ابوتراب;njf_c;urb
sector;280106;حي مجمع الزهراء;njf_c;urb
sector;280108;حي مجمع الشهداء;njf_c;urb
sector;280109;حي مجمع الريان;njf_c;urb
sector;280110;حي النداء;njf_c;urb
sector;280117;حي مجمع الاميرات;njf_c;urb
sector;280118;حي خدمات + جامعة الكفيل;njf_c;urb
sector;280119;حي مجمع بيتي الثاني;njf_c;urb
sector;280120;حي منطقة الصناعية;njf_c;urb
sector;280121;حي مجمع السلطان;njf_c;urb
sector;280122;حي مجمع بيتي الأول;njf_c;urb
sector;280123;حي ملحق النداء;njf_c;urb
sector;280129;حي مجمع النخيل;njf_c;urb
sector;280130;حي الاكاديمية الرياضية;njf_c;urb
sector;280131;حي الموظفين;njf_c;urb
sector;280181;مقاطعة 3 جزيرة النجف الجنوبية الشرقية;njf_c;rur
sector;280182;مقاطعة 4 شواطئ بحر النجف الشمالية الشرقية;njf_c;rur
sector;280183;مقاطعة 4 جزيرة النجف الشمالية الشرقية;njf_c;rur
sector;280185;مقاطعة 5 شواطئ بحر النجف الغربي;njf_c;rur
sector;280186;مقاطعة 20 بساتين جدول السدير الشرقية;njf_c;rur
sector;280187;مقاطعة 21 بساتين جدول السدير الوسطى;njf_c;rur
sector;280188;مقاطعة 22 بساتين جدول السدير الغربية;njf_c;rur
sector;280238;حي الامير;hyd;urb
sector;280243;حي القاسم;hyd;urb
sector;280244;حي الزهراء;hyd;urb
sector;280245;حي الغدير;hyd;urb
sector;280246;حي  17 ربيع الأول;hyd;urb
sector;280247;حي  السلام;hyd;urb
sector;280248;حي  الكاظم;hyd;urb
sector;280298;مقاطعة 4 جزيرة النجف الشماليه الشرقية;hyd;rur
sector;280300;مقاطعة 5 جزيرة النجف الشمالية الغربية;hyd;rur
sector;280301;مقاطعة 65 جزيرة الوسميه الجنوبيه;hyd;rur
sector;280302;مقاطعة 66 أراضي وبساتين الوسيمه الشمالية;hyd;rur
sector;280303;مقاطعة 67 أراضي وبساتين الكريعه;hyd;rur
sector;280304;مقاطعة 68 أراضي وبساتين المزوكه الشماليه;hyd;rur
sector;280309;مقاطعة 69 اراضي وبساتين المزوكه الشرقية;hyd;rur
sector;280311;مقاطعة 70 اراضي وبساتين المزوكه الجنوبيه;hyd;rur
sector;280315;مقاطعة 71 اراضي وبساتين المزوكه الغربيه;hyd;rur
sector;280317;مقاطعة 72 اراضي وبساتين المجر الجنو رن;hyd;rur
sector;280319;مقاطعة 73 اراضي وبساتين المجر الوسطاني;hyd;rur
sector;280321;مقاطعة 74 اراضي وبساتين المجر الشمالى;hyd;rur
sector;280324;مقاطعة 75 اراضي وبساتين ام الرجى الجنوبيه;hyd;rur
sector;280330;مقاطعة 76 اراضي وبساتين ام الرجى الشماليه;hyd;rur
sector;280333;مقاطعة 77 اراضي وبساتين الشبطه;hyd;rur
sector;280335;مقاطعة 78 اراضي وبساتين ام نغيفه;hyd;rur
sector;280336;مقاطعة 79 اراضي وبساتين ام نغيفه والجديده;hyd;rur
sector;280337;مقاطعة 80 اراضي وبساتين الاجدع الجنوبي;hyd;rur
sector;280339;مقاطعة 81 اراضي وبساتين الاجدع الشمالى;hyd;rur
sector;280341;مقاطعة 82 أراضي وبساتين المنيثر الجنوبي;hyd;rur
sector;280342;مقاطعة 83 اراضي وبساتين المنيثر الشمالي;hyd;rur
sector;280345;مقاطعة 199 الشمطونيه;hyd;rur
sector;280396;حي الشبكة;shb;urb
sector;280446;مقاطعة 1 شبكة;shb;rur
sector;280514;مقاطعة 1 بحر النجف الشمالية;rdw;rur
sector;280516;مقاطعة 2 بحر النجف الجنوبيه;rdw;rur
sector;280519;مقاطعة 3 جزيرة النجف الجنوبية الشرقية;rdw;rur
sector;280520;مقاطعة 3 حصوة الخورنق;rdw;rur
sector;280521;مقاطعة 9 اراضي الغزالات الشمالية;rdw;rur
sector;280522;مقاطعة 23 اراضي الغزالات الجنوبية;rdw;rur
sector;280523;مقاطعة 24 عيون الشجيج;rdw;rur
sector;280524;مقاطعة 25 الرحبه;rdw;rur
sector;280574;حي النور;nur;urb
sector;280624;مقاطعة 1 بحر النجف الشمالية;nur;rur
sector;280625;مقاطعة 2 بحر النجف الجنوبي;nur;rur
sector;280626;مقاطعة 8 العزية والاساويد والاعاريج;nur;rur
sector;280628;مقاطعة 9 الرهيمه;nur;rur
sector;280629;مقاطعة 11 بحر النجف الغربي;nur;rur
sector;280630;مقاطعة 12 عيون المستراحة والاثلة;nur;rur
sector;280631;مقاطعة 13 عيون الرهبان;nur;rur
sector;280632;مقاطعة 14 اراضي المسحب ومظلوم;nur;rur
sector;280634;مقاطعة 15 بحر النجف الشرقي;nur;rur
sector;280635;مقاطعة 16 وادي الخر ووادي الملح;nur;rur
sector;280636;مقاطعة 17عيون سيد عبود وماجاورها;nur;rur
sector;280637;مقاطعة 18 اراضي فيضة الفار والمرات;nur;rur
sector;280638;مقاطعة 19 وادي الخمسات و الرهيمات;nur;rur
sector;280639;مقاطعة 23 وادي الملح الجنوبي وعين كرماشة;nur;rur
sector;280689;حي الفرات1;kfa_c;urb
sector;280690;حي الرشادية;kfa_c;urb
sector;280691;حي الفرات2;kfa_c;urb
sector;280692;حي السراي;kfa_c;urb
sector;280693;حي السفير;kfa_c;urb
